the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
" it is the only vehicle on which established economies will be able to compete , " barrett said .	" it is the only vehicle on which established economies will be able to compete " with fast-growing economies such as china and india , barrett said .	3.250
linda saunders pleaded guilty in federal court to six charges , including extortion , money laundering and conspiracy .	former phipps aides linda saunders and bobby mclamb have both pleaded guilty to federal charges including extortion .	2.750
vivendi shares closed 3.8 percent up in paris at 15.78 euros .	vivendi shares were 0.3 percent up at 15.62 euros in paris at 0841 gmt .	2.600
microsoft has identified the freely distributed linux software as one of the biggest threats to its sales .	the company has publicly identified linux as one of its biggest competitive threats .	3.400
antonio monteiro de castro , 58 , currently director of the group 's latin america & caribbean operations , will become chief operating officer from the same date .	bat also said antonio monteiro de castro , director for latin america and the caribbean , would become chief operating officer on january 1 , 2004 .	3.600
" spin and manipulative public relations and propaganda are not the answer , " it said .	the report added that " spin " and manipulative public relations " are not the answer , " but that neither is avoiding the debate .	3.600
another shooting linked to the spree occurred nov. 11 at hamilton central elementary in obetz , about two miles from the freeway .	the latest shooting linked to the spree was a nov. 11 shooting at hamilton township elementary school in obetz , about two miles from the freeway .	4.800
on tuesday , the central bank left interest rates steady , as expected , but also declared that overall risks were weighted toward weakness and warned of deflation risks .	the central bank 's policy board left rates steady for now , as widely expected , but surprised the market by declaring that overall risks were weighted toward weakness .	4.000
the new system costs between $ 1.1 million and $ 22 million , depending on configuration .	the system is priced from us $ 1.1 million to $ 22.4 million , depending on configuration .	3.600
fighting erupted after four north korean journalists confronted a dozen south korean activists protesting human rights abuses in the north outside the main media centre .	trouble flared when at least four north korean reporters rushed from the taegu media centre to confront a dozen activists protesting against human rights abuses in the north .	3.400
